Command : [ .\participant.py info -a 5 ]
Total rows: 5
p_id | p_name         | major_work | profession                
---------------------------------------------------------------
53   | Robert Mitchum | 0039689    | actor, producer, writer   
92   | John Cleese    | 0095159    | actor, producer, writer   
100  | Rowan Atkinson | 0274166    | actor, producer, writer   
228  | Kevin Spacey   | 0119488    | actor, producer, writer   
231  | Oliver Stone   | 0091763    | director, producer, writer

Command : [ .\participant.py info -i 92 ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -n john Cleese ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -pr actor ]
Total rows: 466
p_id     | p_name                          | major_work | profession                                     
---------------------------------------------------------------------------------------------------------
1246394  | Marc Graue                      | 1571573    | actor, miscellaneous, sound_department         
1276570  | The Marquis Chimps              | 0054390    | actor, archive_footage                         
1281009  | Jerzy Rogalski                  | 0399943    | actor                                          
1285135  | Pavel Maykov                    | 0337898    | actor, soundtrack                              
1293137  | Andrzej Konopka                 | 5278832    | actor, soundtrack                              
1296163  | Roman Kosierkiewicz             | 0087542    | actor                                          
1315378  | Kayvan Novak                    | 1341167    | actor, director, writer                        
1350869  | Józef Korzeniowski              | 0091536    | actor                                          
1353833  | Pavel Artemev                   | 3365734    | actor, archive_footage, soundtrack             
1372052  | Kingsford Siayor                | 19899752   | actor                                          
1410260  | Víctor Carrasco                 | 0379108    | actor, script_department, writer               
1416557  | Matías Oviedo                   | 8565148    | actor, producer, soundtrack                    
1418935  | Andrew Toth                     | 0374407    | actor                                          
1441167  | Vuyo Dabula                     | 1057500    | actor                                          
1450227  | Jo Hyeon-jae                    | 5010664    | actor                                          
1455618  | Dmitriy Bykovskiy-Romashov      | 2802154    | actor                                          
1459783  | Andrei Pavlovets                | 0381781    | actor                                          
1460856  | Dmitriy Isaev                   | 0414720    | actor                                          
1475685  | Honório Torrealba               | 0091643    | actor                                          
1478739  | The Osmonds                     | 1196204    | actor, music_department, soundtrack            
1480633  | Theo Becker                     | 0486791    | actor, soundtrack                              
1493623  | Julio Milostich                 | 1244386    | actor, archive_footage                         
1495361  | Gera Sandler                    | 1392882    | actor                                          
1502440  | Martin Parr                     | 0399483    | actor, cinematographer, director               
1507995  | Kim Byeong-chun                 | 13715448   | actor                                          
1521684  | David McNally                   | 0826211    | actor                                          
1525194  | Hisayoshi Suganuma              | 1345450    | actor, archive_footage, miscellaneous          
1552764  | Jesús Zavala                    | 10648198   | actor                                          
1591496  | Mike Colter                     | 3322314    | actor, miscellaneous, visual_effects           
1596202  | Leandro Lima                    | 0317248    | actor                                          
1617276  | Noriaki Sugiyama                | 0409591    | actor, music_department                        
1625839  | Veikko Täär                     | 0459877    | actor                                          
1645334  | Luis Gerardo Méndez             | 5033998    | actor, director, producer                      
1649880  | James Ngcobo                    | 9426290    | actor                                          
1652223  | Tommy Cash                      | 5664502    | actor, archive_footage, soundtrack             
1683003  | Hiro Shimono                    | 11032374   | actor, archive_sound, soundtrack               
1727356  | Rasmus Hardiker                 | 1240982    | actor, music_department, soundtrack            
1739987  | Luke Neal                       | 11656892   | actor, producer, writer                        
1784913  | Kirill Taskin                   | 0435978    | actor                                          
1791970  | Rickard Olsson                  | 24655348   | actor                                          
1814328  | Blake Shepard                   | 3563898    | actor                                          
1846255  | Andrés Velencoso                | 5089786    | actor, archive_footage                         
1947809  | Marcelo Flores                  | 5422000    | actor                                          
1958945  | Jorge Tuero                     | 0470112    | actor                                          
2017335  | James Beaufort                  | 11671006   | actor, director, writer                        
2080557  | Nathan Darrow                   | 1856010    | actor, archive_footage                         
2096872  | Thomas Van Goethem              | 1755138    | actor, producer, writer                        
2096958  | Alain Rinckhout                 | 0490714    | actor                                          
2102472  | Tom Saeys                       | 0490714    | actor                                          
2104765  | Yann Van den Branden            | 0490714    | actor, archive_footage, writer                 
2126217  | Nelson Riddle and his Orchestra | 0118789    | actor, soundtrack                              
2157205  | Gerald Urquhart                 | 0784920    | actor, archive_footage, archive_sound          
2197593  | Samuell Benta                   | 2586996    | actor, director, writer                        
2206168  | Ferdinand Hofer                 | 0780134    | actor, archive_footage                         
2316240  | Ryohei Kimura                   | 3011126    | actor, music_department, soundtrack            
2325042  | Jonathan Harden                 | 13138834   | actor, director, producer                      
2351099  | Oh Dae-gyoo                     | 7795286    | actor                                          
2416210  | Craig Alan Ries                 | 6371572    | actor, director, miscellaneous                 
2470989  | Jeong Jong-joon                 | 5057310    | actor                                          
2542294  | Matthew Elkins                  | 15222080   | actor, casting_director, stunts                
2545508  | Joey Luthman                    | 8129682    | actor, cinematographer, producer               
2659916  | Dmitriy Averin                  | 5030100    | actor                                          
2755953  | Ed Gaughan                      | 1425933    | actor, director, writer                        
2757852  | Christian Contreras             | 3804114    | actor, writer                                  
2761576  | Maksim Bityukov                 | 8664988    | actor                                          
2765628  | Tshaw Beyonce                   | 12402868   | actor                                          
2807968  | John Robinson                   | 1122577    | actor                                          
